Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,description,target
36,male,1,own,little,little,1374,6,furniture/equipment,The person is a 36 year old man with an unskilled job who owns his house and is applying for a 1374 loan for furniture/equipment for a duration of 6 months.,bad risk
39,male,1,own,little,little,426,6,radio/TV,"Un hombre de 39 años, residente en un trabajo no calificado, quiere pedir un préstamo de 426 euros por un período de 6 meses para una radio/TV, con poco dinero en sus cuentas de ahorro y corrientes.",bad risk
42,female,2,rent,rich,rich,409,12,radio/TV,"A woman, 42 years old, with a high-paying job and a lot of money in her savings and current accounts, wants to buy a radio or TV. She lives in a rented apartment and has applied for a 409-month loan.",good risk
34,male,2,own,little,moderate,2415,7,radio/TV,"Male, 34 years old, skilled worker, owns a house, with a little savings account and a moderate checking account, requested a credit of $2415 to buy a radio/TV.",good risk
63,male,2,own,little,little,6836,60,business,"The risk of granting a loan to a 63 year old man, with a high qualification, who owns his home, and is requesting a loan of 6836 for business purposes, is low, since he has a low balance in his savings and current accounts.",good risk
36,male,2,own,rich,moderate,1913,18,business,"A 36 year old man has requested a business loan of 1913 for 18 months. He is highly skilled, owns his own home and has a rich savings account and a moderate checking account.",good risk
27,male,2,own,little,little,4020,24,furniture/equipment,"A male, 27 years old, has requested a loan for furniture/equipment for 24 months in the amount of 4020. He has a skilled job, owns his home, and has little in both his savings and checking accounts.",good risk
30,male,2,own,moderate,moderate,5866,18,car,"The loan amount is 5866 and the purpose is a car, with a 18 month duration. The client is a 30 year old male, with a moderate savings account and a moderate current account. He owns his own house and is a skilled worker.",good risk
57,male,1,rent,little,little,1264,12,business,"A 57 years old man with low saving, resident in an unskilled job, is applying for a business loan of 1264 with a 12 months duration.",bad risk
33,female,3,own,little,rich,1474,12,furniture/equipment,"A woman who is 33 years old, with a high qualification, has a current account with a high balance and a little savings, has requested a loan of 1474 for furniture/equipment, for a period of 12 months.",good risk
25,male,1,own,little,moderate,4746,45,radio/TV,"A 25 year old male, who is an unskilled resident, owns his house, has a moderate checking account and a little savings account, is asking for a 4746 credit to buy a radio/TV, for a 45 month period.",good risk
31,male,2,free,little,little,6110,48,education,"A 31 year old male with a high skill level, living in free housing, is applying for a 6110 loan for 48 months for education purposes. The person has a little savings and a little checking account.",good risk
37,male,2,own,little,rich,2100,18,radio/TV,"A 37 years old man, highly skilled, wants to buy a TV and has requested a loan of 2100€ for 18 months, with a current account but little savings.",good risk
37,male,2,own,little,rich,1225,10,domestic appliances,"A 37 year old male with a high skilled job, who owns his home and has a rich current account has requested a loan of 1225 for domestic appliances for 10 months.",good risk
24,male,2,own,little,moderate,458,9,radio/TV,"The client is a 24 year old male with a moderate current account, a little savings account and a skilled job. He owns his own home and wants a loan of 458 for a radio/TV with a duration of 9 months.",good risk
30,male,3,own,quite rich,little,2333,30,radio/TV,"A 30 year old man, who is highly skilled, owns his home and has quite rich savings, requests a 2333€ loan for 30 months to buy a radio/TV.",good risk
26,male,2,own,quite rich,moderate,1158,12,radio/TV,"A 26 year old male, highly skilled, owns his home, has a moderate current account and a quite rich savings account. He wants a loan of 1158 for radio/TV for 12 months.",good risk
44,male,1,own,little,moderate,6204,18,repairs,"A 44 year old male has requested a 6204 loan for repairs, has a moderate checking account, little savings, is unskilled but a resident and owns his home.",bad risk
24,male,2,rent,moderate,little,6187,30,car,A 24 year old male with moderate savings is applying for a loan of 6187 to buy a car for 30 months. He is skilled and lives in a rented house.,good risk
58,female,1,free,little,little,6143,48,car,"A woman who is 58 years old, has an unskilled job, a free house, little savings and little checking account, requested a car loan for $6143 with a 48 month term.",bad risk
35,female,3,own,little,little,1393,11,car,"A woman, 35 years old, with a highly qualified job, owns her home and wants a car loan for 1393€ for 11 months. She has little savings and a current account.",good risk
39,male,2,own,quite rich,little,2299,36,radio/TV,The person is a 39 year old man who has a highly skilled job and owns his own home. He has a large savings account but a small current account. He is applying for a loan of 2299 for a radio/TV and wants to pay it back over 36 months.,good risk
23,female,0,rent,quite rich,little,1352,6,car,"A 23 year old woman has requested a loan of 1352 for a car. She is an unskilled worker, renting her home, with quite rich savings and little checking account. The loan duration is 6 months.",bad risk
39,male,1,own,little,little,7228,11,car,"The applicant is a 39 year old man, who has a car loan of 7228 for 11 months. He has a low balance in both his savings and checking accounts, and owns his own home. His job is unskilled, but he is a resident.",bad risk
28,female,2,own,moderate,little,2073,12,radio/TV,A 28 year old female has applied for a loan of 2073 euros to purchase a TV or Radio. She is a skilled worker and owns her home. She has a small current account and a moderate savings account. The loan term is 12 months.,good risk
29,male,1,own,little,moderate,2333,24,furniture/equipment,A 29 year old male with a moderate checking account requested a $2333 loan for 24 months to buy furniture/equipment. He lives in his own home and has a little savings. He is an unskilled worker.,bad risk
30,male,3,own,little,moderate,5965,27,car,A 30 year old male with a high skilled job who owns his house has applied for a car loan of 5965 over 27 months. He has moderate checking account but little savings.,good risk
25,male,2,own,little,little,1262,12,radio/TV,"A man of 25 years of age, who owns a home, has a small savings account, a small checking account, and is skilled, has requested a loan of $1262 for 12 months to buy a radio/TV.",good risk
31,male,2,own,little,little,3378,18,car,"A 31 year old male with a skilled job, who owns his home and has little in savings has requested a 3378 dollar loan for 18 months to buy a car.",good risk
57,male,2,free,little,moderate,2225,36,car,The client is a 57 year old male who has a moderate current account and a low savings account. He has requested a loan of 2225 for a car with a 36 month duration.,good risk
26,male,1,own,little,little,783,6,car,A 26 years old male with an unskilled job and own house wants a loan for a car with a low amount and short duration. He has little savings and current accounts.,bad risk
52,male,3,own,little,moderate,6468,12,radio/TV,"The credit risk of a 52 year old male, who is highly skilled, is moderate. He owns his accommodation, has a moderate current account and a little savings account. He wants a loan of 6468 for a radio/TV, with a duration of 12 months.",good risk
31,female,2,own,little,little,9566,36,radio/TV,"A 31-year-old female, with a little savings and current account, applied for a 9566€ loan with a 36-month duration for a radio/TV purchase. She owns her home and has a skilled job.",good risk
23,female,3,own,little,rich,1961,18,car,"A woman of 23 years old, highly skilled, with her own home, rich current account and little savings, is asking for a loan of 1961€ for a car and has a loan duration of 18 months.",good risk
23,female,1,rent,little,little,6229,36,furniture/equipment,A 23 year old woman is applying for a 6229 loan for furniture/equipment. She is an unskilled resident who pays rent and has little in her savings and checking accounts. The loan duration is 36 months.,bad risk
27,male,2,own,little,moderate,1391,9,business,A 27 year old male who is skilled and owns his home is applying for a small loan for business. He has a moderate current account.,good risk
50,male,2,own,little,moderate,1537,15,radio/TV,"A man with moderate current accounts and little savings asks for a loan of 1537 to buy a TV/Radio. He is 50 years old, skilled, and owns his home. The loan has a duration of 15 months.",good risk
61,male,3,free,little,moderate,1953,36,business,"Male, 61 years old, highly skilled, with a moderate current account, who requested a business loan of $1953 for 36 months.",good risk
25,male,2,own,little,moderate,14421,48,business,"A 25 year old man with a moderate current account, and a little saving account wants a business loan of 14421 for 48 months. He owns his house and is skilled.",good risk
26,female,2,own,little,little,3181,24,radio/TV,"A 26 year old female with a high skilled job, who owns her home, wants to take out a loan of 3181 for a radio/TV and has a small current and savings account.",good risk
48,male,2,own,little,little,5190,27,repairs,"A 48 year old man, with a low savings account, is requesting a 5190 loan for repairs, with a 27 month duration. He is highly skilled and owns his own home.",good risk
29,female,2,own,little,little,2171,12,radio/TV,"A woman who is 29 years old, highly skilled and owns her own home has applied for a 2171 credit to buy a radio/TV for 12 months. She has little savings and little checking account.",good risk
22,male,2,own,rich,moderate,1007,12,car,"Persona masculina, con un trabajo calificado, que posee su propio alojamiento, con una cuenta de ahorro rica y una cuenta corriente moderada, solicita un préstamo de 1007 para un automóvil con una duración de 12 meses.",good risk
37,male,2,free,little,little,1819,36,education,A 37 year old male who is skilled and living in free accommodation has requested a loan of 1819 for education purposes. He has a little amount in his saving and current account.,bad risk
25,female,2,own,little,little,2394,36,radio/TV,"A 25 year old woman has requested a 2394 loan to buy a radio/TV, the loan will last for 36 months, she has a little savings and current account and a skilled job.",good risk
30,female,2,own,little,little,8133,36,car,"A woman of 30 years old, skilled, owns her home, has little savings and current accounts, wants a car loan of 8133 for 36 months.",good risk
46,male,1,rent,little,little,730,7,radio/TV,"A 46 years old man requested a 730 dollars loan for 7 months, he is unskilled and resident, his accommodation is rented and he has little savings and current accounts.",bad risk
51,male,3,free,little,little,1164,8,vacation/others,The person is a 51 year old man with a high skill job. He lives in free accommodation and has little savings. He is applying for a loan of 1164 for a vacation.,bad risk
41,female,1,own,little,moderate,5954,42,business,"A woman, 41 years old, with an unskilled job and her own house, has a moderate current account and a little savings account. She requested a loan of 5954 for her business for 42 months.",good risk
40,male,3,own,little,little,1977,36,education,"A man, who is highly skilled, requested a loan of 1977 for education purposes. The loan has a duration of 36 months. He has little savings and a little current account. He owns his home.",good risk
66,male,3,free,little,little,1526,12,car,"A 66 years old man requested a 1526 loan for a car. He has a highly skilled job and lives for free, but his savings are low. The loan duration is 12 months.",good risk
34,male,2,own,little,little,3965,42,radio/TV,"A man of 34 years old, skilled, that owns his house, requested a loan of 3965 euros to buy a radio/TV. The loan will last 42 months. He has little savings and little current account.",good risk
51,male,2,own,little,moderate,4771,11,radio/TV,"A man, 51 years old, skilled, owner of his house, with few savings and a moderate checking account, requested a loan of 4771 for radio/TV with a term of 11 months.",good risk
39,male,1,own,little,little,9436,54,car,"Male, 39 years old, unskilled resident, own accommodation, few savings, few current accounts, € 9436 loan, 54 months, car loan.",bad risk
22,male,2,own,little,moderate,3832,30,furniture/equipment,"A male with a skilled job, who owns his home, with a small savings account and a moderate current account, is requesting a loan of 3832 for furniture/equipment, for a duration of 30 months.",good risk
44,female,2,own,little,little,5943,24,radio/TV,"Female with a skilled job, owns her house and has a small current and saving account requested a credit of 5943€ for a period of 24 months to buy a radio or TV.",good risk
47,male,2,own,quite rich,little,1213,15,radio/TV,"The risk of granting credit to a 47 year old male with a high savings account, a small current account and a high skilled job who wants to buy a radio/TV is low.",good risk
24,female,1,rent,moderate,little,1568,18,business,"A 24-year-old female with an unskilled job and low current account balance has requested a business loan of $1568 for 18 months. Her housing situation is rental, and she has a moderate savings account balance.",bad risk
58,female,1,own,little,little,1755,24,vacation/others,"A woman, 58 years old, unskilled resident, owns her home and has little savings and current account. She requested a credit of 1755 for vacation/others for 24 months.",bad risk
52,male,1,own,little,little,2315,10,radio/TV,"The client is a 52 year old male with a low savings account balance, who is applying for a loan of 2315 for a radio/TV. The client is unskilled and resident with their own home and is applying for a loan with a 10 month duration.",bad risk
29,female,3,own,little,little,1412,12,business,"A female of 29 years old, who owns her house and has a little savings, requested a credit of 1412 for business, with a duration of 12 months.",good risk
27,female,2,own,little,moderate,1295,18,furniture/equipment,"A female with moderate current account and little savings, who owns a house, with a high skilled job, wants a loan for furniture and equipment for 1295 over 18 months.",good risk
47,male,2,free,moderate,moderate,12612,36,education,"A 47 years old male, highly skilled, with free housing, average savings and checking accounts, requested a loan of 12612 euros for education purposes for 36 months.",good risk
30,male,3,own,moderate,little,2249,18,car,"A 30-year-old man with a high skilled job, who owns his home and has a small current account, applied for a car loan of $2249 for 18 months.",good risk
28,male,2,own,little,little,1108,12,repairs,"A 28 year old male with a skilled job, his own home, and a small current account has requested a loan of 1108 for repairs.",good risk
56,male,2,own,little,little,618,12,radio/TV,A 56 year old male skilled worker wants to buy a radio/TV for 618 with a 12 month loan and a small current account.,bad risk
54,male,2,own,little,little,1409,12,car,"The person is a 54 year old male with a skilled job. He owns his own house, has little savings and a current account. He is asking for a 1409 credit for a car over 12 months.",good risk
33,female,1,own,little,little,797,12,radio/TV,"A woman, resident, unskilled, owns her house, with little savings and current account, wants to buy a radio/TV for 797 with a 12 months loan.",bad risk
20,male,2,rent,little,rich,3617,24,furniture/equipment,"A male, 20 years old, skilled worker who rents his house, has a rich checking account but little savings, applied for a 3617 loan for 24 months to buy furniture/equipment.",good risk
54,male,2,own,rich,moderate,1318,12,car,"A 54-year-old male, skilled, with own accommodation, rich savings and moderate current account, has requested a 1318€ car loan for 12 months.",good risk
58,male,2,rent,little,moderate,15945,54,business,"A male with a skilled job, who rents his home, with a moderate current account and little savings, requested a loan of 15945 for business purposes for 54 months.",good risk
61,female,2,own,little,little,2012,12,education,"The person is a female, 61 years old, skilled, has her own home and is asking for an educational loan of $2012 for 12 months. She has little savings and current accounts.",bad risk
34,male,2,own,moderate,moderate,2622,18,business,"A male, 34 years old, skilled person, who owns his house, has a moderate current and savings account, and wants a loan of 2622 for business, for 18 months.",good risk
36,male,2,own,little,moderate,2337,36,radio/TV,"A 36 year old man, with a high skilled job, has a moderate current account, a low savings account, a loan of 2337 for a TV or radio and his own house.",good risk
36,male,3,rent,little,moderate,7057,20,car,"A 36-year-old male with a high-skilled job, renting his house, with a small savings account and a moderate checking account, asked for a car loan of 7057 for a period of 20 months.",good risk
41,male,1,rent,moderate,little,1469,24,car,"The client is a 41 year old male, with a low current account balance, a moderate savings account balance, a renter, has requested a car loan for 1469, for a 24 month term.",bad risk
24,male,2,rent,little,moderate,2323,36,radio/TV,A 24 year old male with a moderate current account and a little savings account requests a loan of 2323 for a radio/TV with a 36 month term. He has a skilled job and rents his home.,good risk
24,female,2,own,little,little,932,6,radio/TV,"Female, aged 24, with a little savings account, has a low loan amount and a short loan duration for a TV/Radio. They are skilled and own their home.",good risk
35,male,2,rent,little,moderate,1919,9,furniture/equipment,A 35 year old male with a moderate checking account and little savings has requested a 1919 credit for a 9 month period to purchase furniture and equipment.,good risk
26,male,2,rent,little,little,2445,12,car,"A 26 year old man requested a loan of 2445 for a car, with a duration of 12 months, he has little savings and little current account, his job is skilled and he rents the house.",bad risk
39,male,3,own,little,moderate,11938,24,vacation/others,"The person is a 39 years old male with a high skilled job. He owns his house, he has a moderate checking account and a low saving account. He asked for a 11938 credit for vacations.",good risk
39,male,3,own,little,little,6458,18,car,"A 39 year old male, highly skilled, with a car loan of 6458 dollars for 18 months and little savings.",bad risk
32,male,2,own,little,moderate,6078,12,car,A 32 year old male with a moderate current account and a little saving account with a skilled job who owns his house asked for a loan of 6078 for a car with a 12 months duration.,good risk
30,female,2,own,little,little,7721,24,furniture/equipment,"A woman, aged 30, with a skilled job and her own house, applied for a 7721€ loan for 24 months to buy furniture/equipment.",good risk
35,male,2,own,quite rich,moderate,1410,14,business,The person is a 35-year-old man with a high-skilled job and owns his home. He has a rich savings account and a moderate checking account. He wants to borrow 1410 for business for 14 months.,good risk
31,male,2,own,moderate,moderate,1449,6,business,"The client is a 31 year old man, skilled worker, who owns his home. He has a moderate savings and checking account. He requested a loan of 1449 for business, with a duration of 6 months.",good risk
23,female,2,rent,little,rich,392,15,education,"A woman of 23 years of age, with a little savings account and a rich current account, seeks a credit of 392 for education purposes. She is skilled and lives in a rented house.",good risk
28,male,1,rent,little,moderate,6260,18,car,"A male, aged 28, has applied for a loan of 6260 for a car. He is unskilled and resident with a moderate current account and little savings. He rents his home and the loan is for 18 months.",bad risk
25,female,2,own,little,little,7855,36,car,"A woman of 25 years of age, skilled worker, owner of her home, with little savings and current accounts, asked for a car loan of 7855 for 36 months.",good risk
35,male,2,own,quite rich,little,1680,12,radio/TV,"The person is a 35 year old man, skilled, with his own house, quite rich savings account, little current account, requested a 1680 credit to buy a radio/TV for 12 months.",good risk
47,male,2,own,little,little,3578,48,radio/TV,A man with a high level of training requests a loan of 3578 euros to buy a radio or a television. The loan term is 48 months and the client has little savings. The client owns his home.,good risk
30,female,3,own,little,little,7174,42,radio/TV,"A 30-year-old woman has requested a loan of 7174 for a radio/TV, has a little savings and checking account, and is highly skilled, with her own home. The loan term is 42 months.",good risk
27,female,2,rent,little,little,2132,10,furniture/equipment,"A 27-year-old female with a skilled job, who rents her home, has a small savings account and a small current account, requested a 2132 credit for furniture/equipment for a 10 month duration.",good risk
23,female,2,own,quite rich,little,4281,33,furniture/equipment,"The customer is a 23 year old female, skilled, owns her own home, has a lot of savings and a little current account, wants to buy furniture and is asking for a loan of 4281 over 33 months.",good risk
36,male,3,own,quite rich,moderate,2366,12,car,"The client is a male, highly skilled, with his own house and quite rich savings, with a moderate current account, that wants to buy a car and asks for a loan of 2366 for 12 months.",good risk
25,female,2,own,little,little,1835,21,radio/TV,"Female, 25 years old, skilled, owns her own home, has little savings and current accounts, requested a loan of 1835 for a TV/radio for 21 months.",good risk
41,female,3,rent,little,little,3868,24,car,"The client is a 41-year-old woman, with a high level of qualification, who pays rent and has a small savings and current account, she requests a loan of 3868 euros to buy a car, for a period of 24 months.",good risk
24,male,1,rent,little,little,1768,12,furniture/equipment,"A young man with an unstable job, who lives in a rented house, requested a low amount of money for a short period of time.",bad risk
63,male,2,free,little,rich,781,10,car,A 63 years old male with a rich checking account requested a loan of 781€ for a car. The duration of the loan is 10 months and the client is skilled.,good risk
27,female,2,rent,little,moderate,1924,18,furniture/equipment,"The risk of granting a loan to a 27-year-old woman, who is skilled and lives in rented accommodation, is moderate, for a moderate current account, a small savings account, a loan of 1924 euros and a duration of 18 months to purchase furniture/equipment.",good risk
30,male,2,own,little,little,2121,12,car,"A male, 30 years old, with a skilled job, who owns his home, has little savings and little checking account, requested a car loan for 2121 for 12 months.",good risk
40,male,1,own,little,little,701,12,radio/TV,"The risk of a 40 year old male, unskilled and resident, who owns his home, with little savings and checking accounts, who requests a 701 loan for a 12 month period to buy a radio/TV.",bad risk
30,male,2,own,little,moderate,639,12,repairs,"The person is a skilled, male with his own home, who wants a 12 month loan of 639 for repairs. He has a small savings account and a moderate current account.",good risk
34,male,3,own,little,moderate,1860,12,car,The person is a 34 year old male with a high skilled job who owns his home. He has a moderate checking account and little savings. He is requesting a $1860 loan for a car for 12 months.,good risk
29,female,2,own,little,little,3499,12,car,"The female, 29 years old, skilled worker, with her own home and little savings in her accounts, requested a car loan for $3499 for 12 months.",good risk
24,female,2,own,little,moderate,8487,48,car,"A woman of 24 years old, who owns her house, skilled worker, with a little savings and a moderate checking account, requested a loan of 8487 euros for a car, for 48 months.",good risk
29,male,2,own,little,little,6887,36,education,A male with a skilled job who owns his own home has requested a loan of 6887 for education purposes. The loan will last for 36 months. He has a little savings and a small current account.,good risk
27,male,1,own,little,little,2708,15,furniture/equipment,"The credit amount is low, the duration is short and the purpose is furniture/equipment. The person is a young man with an unskilled job who owns his own home and has little savings and current accounts.",bad risk
47,male,2,free,little,little,1984,18,furniture/equipment,"A man of 47 years old requested a credit of 1984 for furniture/equipment, he is a skilled worker and has little savings. He has a free accommodation and a low balance in his checking account. The credit has a duration of 18 months.",good risk
21,female,2,own,moderate,little,10144,60,radio/TV,The female with a moderate savings account and a little checking account has a loan for a radio/TV for 10144 with a 60 month duration.,bad risk
38,female,2,own,little,little,1240,12,radio/TV,"A woman of 38 years old, with a high qualification job, that owns her house, with little saving and checking accounts, requested a credit of 1240 for a radio/TV.",good risk
27,male,2,own,rich,little,8613,27,car,A 27-year-old male with a high-skilled job and a rich savings account is requesting a loan of $8613 for a car. The loan will last for 27 months.,good risk
66,male,1,own,quite rich,moderate,766,12,radio/TV,A male with a high savings account and a moderate checking account is applying for a loan of 766 euros to buy a radio/TV. The loan is for 12 months and he is unskilled but resident with his own home.,good risk
35,male,2,own,little,moderate,2728,15,radio/TV,"A 35 year old male with a moderate current account and a little savings account, with a high skilled job and owning his own home, has requested a loan of 2728 with a duration of 15 months to buy a radio/TV.",good risk
44,female,1,rent,little,rich,1881,12,radio/TV,"A woman of 44 years old, unskilled and resident, who rents her house, has a little saving account and a rich current account, requested a credit of 1881 for a TV or Radio, for a duration of 12 months.",good risk
27,male,0,own,rich,rich,709,6,car,"A male with a low-skilled and non-resident job, has his own house, and has rich savings and checking accounts, requested a car loan of 709 for 6 months.",good risk
30,female,3,own,little,moderate,4795,36,radio/TV,"A female, skilled, resident, with her own accommodation, has a moderate checking account and little savings, requested a loan of 4795 for a TV, with a duration of 36 months.",good risk
27,male,3,own,little,little,3416,27,radio/TV,"A man, 27 years old, highly skilled, owns his house, has a small amount of savings and checking account, requested a loan of 3416 for a TV/Radio with a 27 month term.",good risk
22,male,2,own,little,little,2462,18,furniture/equipment,"A 22 year old male, with little savings and little checking account, is requesting a loan of 2462 for furniture/equipment. He has his own housing and is skilled.",good risk
23,female,2,own,little,little,2288,21,furniture/equipment,"A woman, 23 years old, with a medium level of skill, owns her home, has a small savings account and a small checking account, wants to buy furniture and equipment, and is asking for a 2288 loan for 21 months.",good risk
30,male,2,own,moderate,moderate,3566,48,business,"Persona de 30 años, de sexo masculino, con empleo calificado, propietario de su vivienda, con cuentas de ahorro y corriente moderadas, solicitando un préstamo de 3566 por 48 meses para negocio.",good risk
39,female,2,own,little,little,860,6,car,A woman of 39 years old with a high skill level and owns her house is requesting a credit of $860 for a car with a duration of 6 months and she has little savings.,good risk
51,female,2,own,moderate,little,682,12,car,"A woman with a moderate savings account, a little checking account and a skilled job, has requested a loan of 682 for a car and will have 12 months to pay it.",good risk
28,male,2,own,little,little,5371,36,furniture/equipment,"A 28 years old male, highly skilled and resident, who owns his house, wants a 5371€ loan for 36 months to buy furniture/equipment. He has a low savings account balance and a low checking account balance.",good risk
46,male,2,own,rich,little,1582,18,radio/TV,"A male, 46 years old, with a high skilled job and owns his own house. He has a high savings account and a small current account. He requested a loan of 1582 for a TV/Radio, with a duration of 18 months.",good risk
42,male,2,free,moderate,little,1346,6,radio/TV,"A man, aged 42, who has a moderate savings account, little checking account, and is skilled, wants to buy a radio/TV with a 1346 loan for 6 months.",good risk
38,male,2,own,little,little,1924,10,radio/TV,"The loan is for a 38 year old male, highly skilled, with a small savings account, for a small amount of money to buy a radio/TV.",good risk
24,male,2,own,little,rich,5848,36,radio/TV,"A male of 24 years of age, with a high level of skill, applied for a credit of 5848 for a TV/radio. He has a rich current account and little savings. The loan has a duration of 36 months and he owns his home.",good risk
29,female,2,rent,rich,moderate,7758,24,car,"A female who is 29 years old, has a skilled job, rents her home, has a rich savings account, a moderate checking account, requested a $7758 loan for a car for 24 months.",good risk
36,male,3,rent,moderate,moderate,6967,24,business,"A 36 year old male, with a highly skilled job and moderate savings, requested a loan of 6967 for business purposes, with a duration of 24 months.",good risk
20,female,2,rent,little,little,1282,12,furniture/equipment,"A 20 year old woman, who is skilled, who rents her house, who has little in savings and current accounts, who requested a loan of $1282 for furniture/equipment, and who will have to pay for 12 months.",bad risk
48,male,2,own,moderate,little,1288,9,repairs,"A 48 year old male with a skilled job and owns his home, has a small current account and a moderate savings account, has requested a loan for repairs of 1288 for 9 months.",good risk
45,male,1,own,little,little,339,12,education,A 45 year old male with an unskilled and resident job who owns his own home has a low amount of savings and is requesting a small loan for education.,bad risk
38,male,2,own,moderate,moderate,3512,24,car,"A man of 38 years old, who is skilled, wants to buy a car with a loan of 3512€ for 24 months. He has moderate savings and current accounts.",good risk
34,male,1,own,little,little,1898,6,radio/TV,"A man of 34 years of age, unskilled and resident, who owns his house, with little saving and current accounts, has requested a loan of 1898 for a radio/TV, for a period of 6 months.",bad risk
36,male,2,own,moderate,little,2872,24,radio/TV,"A 36 years old man, skilled worker, owns his house, has a moderate savings account and a little current account, requested a 2872 loan for 24 months to buy a radio/TV.",good risk
30,female,2,own,little,little,1055,18,car,"Female, 30 years old, skilled worker, has her own home, with little savings and little current account, asked for 1055 for a car with 18 months of duration.",good risk
36,male,2,own,quite rich,little,1262,15,domestic appliances,"A 36 years old man wants to buy domestic appliances. He has a high amount of savings, a low current account and a low amount of credit. He is skilled and owns his house.",good risk
70,male,3,free,little,moderate,7308,10,car,A man of 70 years of age with a high skill job applied for a car loan of 7308 with a duration of 10 months. He has moderate current accounts and little savings.,bad risk
